file,has_hidden_void,void_num,center_mass,bounds
5765652_2_12_void.stl,YES,2,"[9.496, 11.847, 7.9]","[[9.496, 11.847, 7.899], [9.497, 11.847, 7.9]]"
5815969_5_11_void.stl,NO,,,
5816424_1_0_void.stl,NO,,,
5826710_1_6_void.stl,NO,,,
5821076_1_2_void.stl,NO,,,
5783959_1_4_void.stl,YES,1,"[-2.929, 1.679, 11.112]","[[-2.99, 1.614, 10.922], [-2.872, 1.751, 11.245]]"
5783959_1_4_void.stl,YES,2,"[10.031, 1.857, 10.902]","[[9.853, 1.656, 10.214], [10.246, 2.121, 11.298]]"
5783959_1_4_void.stl,YES,3,"[-2.866, -2.645, 9.692]","[[-2.868, -2.646, 9.692], [-2.865, -2.644, 9.693]]"
5783959_1_4_void.stl,YES,4,"[-0.259, 10.177, 9.362]","[[-0.262, 10.175, 9.361], [-0.256, 10.179, 9.363]]"
5805749_1_0_void.stl,YES,1,"[11.226, 4.708, 0.721]","[[7.415, 0.985, 0.122], [15.036, 8.43, 1.319]]"
5805749_1_0_void.stl,YES,2,"[0.283, 26.618, 0.521]","[[0.263, 26.603, 0.518], [0.302, 26.633, 0.524]]"
5803369_7_1_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5758968_9_4_void.stl,NO,,,
5853274_1_1_void.stl,YES,1,"[66.545, -25.102, 29.126]","[[66.544, -25.103, 29.125], [66.546, -25.101, 29.127]]"
5853274_1_1_void.stl,YES,2,"[-26.336, -16.231, 6.196]","[[-28.372, -17.42, 4.864], [-24.3, -15.043, 7.527]]"
5853274_1_1_void.stl,YES,3,"[-32.991, 31.805, 6.157]","[[-35.546, 29.508, 5.431], [-30.437, 34.102, 6.882]]"
5911816_3_4_void.stl,YES,1,"[12.876, -3.766, 6.741]","[[12.84, -3.777, 6.732], [12.913, -3.754, 6.75]]"
5911816_3_4_void.stl,YES,2,"[22.4, -3.576, 1.881]","[[21.469, -3.691, 1.727], [23.331, -3.462, 2.036]]"
5911816_3_4_void.stl,YES,3,"[24.796, -3.061, 2.59]","[[21.954, -3.911, 2.129], [27.638, -2.212, 3.052]]"
5911816_3_4_void.stl,YES,4,"[31.493, 1.636, 5.018]","[[29.42, 1.086, 4.637], [33.566, 2.186, 5.398]]"
5866985_1_4_void.stl,YES,1,"[0.799, -3.124, 11.114]","[[-1.712, -9.315, 5.889], [3.31, 3.068, 16.339]]"
5866985_1_4_void.stl,YES,2,"[-4.606, 15.162, 6.626]","[[-8.233, 11.479, 3.362], [-0.979, 18.845, 9.889]]"
5866985_1_4_void.stl,YES,3,"[1.843, 1.173, 23.077]","[[1.437, 0.884, 22.824], [2.249, 1.461, 23.329]]"
5866985_1_4_void.stl,YES,4,"[-4.669, 13.856, 21.977]","[[-5.193, 13.087, 21.116], [-4.145, 14.626, 22.838]]"
5803369_7_0_void.stl,YES,1,"[-3.795, -14.35, 39.605]","[[-5.256, -18.696, 35.259], [-2.339, -10.002, 43.953]]"
5821076_1_3_void.stl,NO,,,
5783959_1_5_void.stl,YES,1,"[-2.929, 1.679, 11.112]","[[-2.99, 1.614, 10.922], [-2.872, 1.751, 11.245]]"
5783959_1_5_void.stl,YES,2,"[10.031, 1.857, 10.902]","[[9.853, 1.656, 10.214], [10.246, 2.121, 11.298]]"
5783959_1_5_void.stl,YES,3,"[0.303, 4.991, 7.912]","[[0.303, 4.991, 7.912], [0.303, 4.991, 7.912]]"
5783959_1_5_void.stl,YES,4,"[0.149, 3.775, 7.283]","[[0.148, 3.774, 7.282], [0.151, 3.776, 7.284]]"
5783959_1_5_void.stl,YES,5,"[7.251, 1.044, 9.056]","[[7.249, 1.043, 9.055], [7.252, 1.045, 9.057]]"
5805749_1_1_void.stl,NO,,,
5885189_5_4_void.stl,NO,,,
5866985_1_5_void.stl,YES,1,"[-6.106, 13.742, 20.509]","[[-7.053, 12.903, 19.125], [-5.158, 14.581, 21.894]]"
5866985_1_5_void.stl,YES,2,"[16.844, -0.706, 15.82]","[[16.703, -0.841, 15.629], [16.985, -0.571, 16.011]]"
5866985_1_5_void.stl,YES,3,"[-15.873, -4.436, 11.064]","[[-16.319, -4.631, 10.802], [-15.428, -4.241, 11.325]]"
5866985_1_5_void.stl,YES,4,"[7.63, 6.779, 28.35]","[[6.203, 5.712, 27.703], [9.056, 7.846, 28.996]]"
5866985_1_5_void.stl,YES,5,"[-3.05, 8.173, 13.56]","[[-9.205, 5.089, 7.026], [3.105, 11.258, 20.094]]"
5853274_1_0_void.stl,YES,1,"[-70.792, 32.982, 17.648]","[[-70.885, 32.924, 17.609], [-70.699, 33.04, 17.688]]"
5853274_1_0_void.stl,YES,2,"[-1.65, -6.25, 8.031]","[[-1.655, -6.255, 8.029], [-1.644, -6.245, 8.032]]"
5758968_9_5_void.stl,YES,1,"[-2.963, 7.664, 8.58]","[[-2.964, 7.663, 8.579], [-2.963, 7.664, 8.58]]"
5758968_9_5_void.stl,YES,2,"[-7.663, -0.324, 10.901]","[[-7.664, -0.325, 10.898], [-7.661, -0.322, 10.903]]"
5758968_9_5_void.stl,YES,3,"[-2.542, -3.327, 15.493]","[[-2.713, -3.728, 15.247], [-2.37, -2.925, 15.74]]"
5758968_9_5_void.stl,YES,4,"[8.49, 1.309, 7.66]","[[8.489, 1.307, 7.659], [8.492, 1.311, 7.661]]"
5911816_3_5_void.stl,NO,,,
5819785_1_1_void.stl,NO,,,
5892823_1_0_void.stl,YES,1,"[-2.479, -70.223, 8.887]","[[-2.495, -70.395, 8.88], [-2.462, -70.052, 8.895]]"
5885189_2_11_void.stl,NO,,,
5841108_1_8_void.stl,NO,,,
5892823_1_1_void.stl,YES,1,"[-0.804, 38.925, 7.248]","[[-0.866, 38.294, 7.21], [-0.742, 39.556, 7.286]]"
5892823_1_1_void.stl,YES,2,"[-1.426, -21.579, 11.763]","[[-1.428, -21.618, 11.762], [-1.425, -21.541, 11.764]]"
5885189_2_10_void.stl,NO,,,
5840852_7_2_void.stl,YES,1,"[-1.417, -22.716, 37.41]","[[-1.551, -22.857, 37.32], [-1.283, -22.576, 37.499]]"
5840852_7_2_void.stl,YES,2,"[9.882, -22.013, 24.53]","[[8.619, -22.777, 23.877], [11.145, -21.25, 25.183]]"
5819785_1_0_void.stl,NO,,,
5841108_1_9_void.stl,NO,,,
5826735_2_3_void.stl,YES,1,"[20.672, 7.132, 19.118]","[[17.411, 0.332, 17.373], [23.933, 13.932, 20.863]]"
5826735_2_3_void.stl,YES,2,"[21.381, -26.791, 13.358]","[[21.377, -26.806, 13.352], [21.386, -26.775, 13.363]]"
5826735_2_3_void.stl,YES,3,"[14.925, -12.746, 23.616]","[[14.047, -13.743, 23.083], [15.802, -11.749, 24.15]]"
5826735_2_3_void.stl,YES,4,"[-7.425, -35.438, 8.884]","[[-7.844, -36.28, 8.535], [-7.005, -34.595, 9.233]]"
5864029_1_1_void.stl,NO,,,
5826735_2_2_void.stl,YES,1,"[29.289, 14.213, 14.359]","[[29.151, 13.845, 14.295], [29.426, 14.581, 14.422]]"
5864029_1_0_void.stl,NO,,,
5779197_1_0_void.stl,NO,,,
5771614_2_2_void.stl,YES,1,"[19.362, -1.612, 1.04]","[[19.36, -1.612, 1.04], [19.363, -1.612, 1.041]]"
5771614_2_2_void.stl,YES,2,"[2.365, -3.814, 4.712]","[[2.355, -3.818, 4.708], [2.375, -3.811, 4.716]]"
5779197_1_1_void.stl,NO,,,
5731853_3_0_void.stl,YES,1,"[-21.239, 41.44, 130.049]","[[-21.246, 41.438, 130.045], [-21.231, 41.442, 130.054]]"
5731853_3_0_void.stl,YES,2,"[-13.04, 39.664, 91.087]","[[-13.045, 39.664, 91.084], [-13.036, 39.665, 91.09]]"
5731853_3_0_void.stl,YES,3,"[1.867, 4.66, 25.502]","[[1.867, 4.66, 25.501], [1.868, 4.66, 25.502]]"
5731853_3_0_void.stl,YES,4,"[1.746, 16.209, 6.813]","[[1.709, 16.196, 6.762], [1.783, 16.222, 6.864]]"
5771614_2_3_void.stl,NO,,,
5876560_2_3_void.stl,NO,,,
5782067_1_0_void.stl,YES,1,"[8.465, 0.846, 8.496]","[[8.26, 0.352, 8.308], [8.67, 1.34, 8.684]]"
5876560_2_2_void.stl,NO,,,
5782067_1_1_void.stl,YES,1,"[7.082, 1.757, 4.571]","[[7.08, 1.756, 4.569], [7.083, 1.759, 4.573]]"
5815969_1_3_void.stl,YES,1,"[38.573, 33.735, 8.754]","[[38.573, 33.735, 8.754], [38.574, 33.735, 8.754]]"
5852998_1_1_void.stl,NO,,,
5852998_1_0_void.stl,YES,1,"[27.72, 30.506, 1.665]","[[27.72, 30.506, 1.665], [27.72, 30.506, 1.665]]"
5852998_1_0_void.stl,YES,2,"[34.281, 17.71, 15.05]","[[34.281, 17.709, 15.05], [34.282, 17.71, 15.05]]"
5815969_1_2_void.stl,YES,1,"[11.737, 9.1, 50.361]","[[11.737, 9.098, 50.359], [11.738, 9.101, 50.362]]"
5822295_1_4_void.stl,YES,1,"[19.169, -10.266, 4.874]","[[19.011, -10.428, 4.826], [19.328, -10.104, 4.923]]"
5822295_1_5_void.stl,YES,1,"[28.04, -7.515, 1.859]","[[27.173, -8.951, 1.685], [28.906, -6.079, 2.033]]"
5822295_1_5_void.stl,YES,2,"[24.215, -5.012, 1.957]","[[21.746, -12.629, 0.664], [26.684, 2.605, 3.25]]"
5835595_1_2_void.stl,YES,1,"[39.829, -11.201, 5.453]","[[39.787, -11.215, 5.441], [39.871, -11.188, 5.464]]"
5797392_2_7_void.stl,NO,,,
5835595_1_3_void.stl,YES,1,"[19.605, -11.512, 12.372]","[[17.595, -11.976, 11.865], [21.615, -11.048, 12.879]]"
5835595_1_3_void.stl,YES,2,"[-26.46, 13.341, 25.566]","[[-26.679, 13.303, 25.51], [-26.241, 13.38, 25.622]]"
5797392_2_6_void.stl,YES,1,"[1.199, 14.367, 8.456]","[[1.038, 14.085, 7.973], [1.359, 14.649, 8.939]]"
5797392_2_6_void.stl,YES,2,"[4.524, 13.791, 8.549]","[[3.147, 12.425, 6.702], [5.902, 15.158, 10.396]]"
5823799_2_7_void.stl,NO,,,
5785050_1_1_void.stl,YES,1,"[1.933, -7.086, 36.45]","[[1.923, -7.092, 36.436], [1.943, -7.08, 36.464]]"
5785050_1_1_void.stl,YES,2,"[4.241, -4.664, 1.798]","[[4.206, -4.68, 1.767], [4.277, -4.648, 1.828]]"
5785050_1_1_void.stl,YES,3,"[9.227, 10.474, 10.495]","[[9.225, 10.471, 10.489], [9.23, 10.476, 10.502]]"
5903116_9_0_void.stl,YES,1,"[-21.676, -0.533, 12.54]","[[-21.676, -0.533, 12.54], [-21.676, -0.533, 12.54]]"
5785050_1_0_void.stl,YES,1,"[-14.819, 3.171, 27.446]","[[-15.088, 2.865, 27.236], [-14.549, 3.477, 27.656]]"
5785050_1_0_void.stl,YES,2,"[5.205, -5.326, 31.928]","[[2.629, -7.23, 29.375], [7.781, -3.421, 34.482]]"
5785050_1_0_void.stl,YES,3,"[11.596, 13.798, 23.931]","[[11.446, 13.724, 23.799], [11.746, 13.872, 24.063]]"
5785050_1_0_void.stl,YES,4,"[14.561, 10.67, 18.147]","[[13.758, 10.215, 17.719], [15.364, 11.125, 18.575]]"
5823799_2_6_void.stl,NO,,,
5858994_1_2_void.stl,NO,,,
5835992_2_1_void.stl,NO,,,
5842342_1_1_void.stl,YES,1,"[8.783, 4.75, 23.405]","[[8.758, 4.747, 23.385], [8.808, 4.753, 23.426]]"
5842342_1_1_void.stl,YES,2,"[8.26, -1.291, 16.407]","[[8.218, -1.313, 16.372], [8.302, -1.269, 16.443]]"
5842342_1_1_void.stl,YES,3,"[-8.777, 1.517, 14.558]","[[-9.956, 0.65, 11.561], [-7.597, 2.385, 17.555]]"
5842342_1_1_void.stl,YES,4,"[-14.156, 1.375, 12.738]","[[-15.763, 1.207, 11.58], [-12.549, 1.543, 13.896]]"
5797055_1_7_void.stl,YES,1,"[-25.176, 4.226, 34.626]","[[-25.242, 4.223, 34.462], [-25.11, 4.23, 34.79]]"
5797055_1_7_void.stl,YES,2,"[-43.411, 4.743, 120.456]","[[-43.413, 4.743, 120.454], [-43.408, 4.743, 120.458]]"
5797055_1_7_void.stl,YES,3,"[-41.057, 7.806, 73.326]","[[-46.455, 7.402, 69.56], [-35.658, 8.21, 77.092]]"
5797055_1_7_void.stl,YES,4,"[60.297, 2.785, 78.249]","[[52.408, 2.017, 64.522], [68.187, 3.552, 91.977]]"
5797055_1_7_void.stl,YES,5,"[-45.797, 1.457, 60.948]","[[-47.135, 1.358, 55.743], [-44.458, 1.557, 66.154]]"
5797055_1_6_void.stl,YES,1,"[38.079, 2.172, 165.656]","[[32.074, 1.573, 145.004], [44.083, 2.772, 186.308]]"
5797055_1_6_void.stl,YES,2,"[-22.405, 6.518, 14.6]","[[-23.66, 6.395, 11.614], [-21.149, 6.642, 17.587]]"
5797055_1_6_void.stl,YES,3,"[-61.615, 0.814, 103.213]","[[-61.647, 0.812, 103.179], [-61.584, 0.815, 103.247]]"
5858994_1_3_void.stl,NO,,,
5842342_1_0_void.stl,NO,,,
5835992_2_0_void.stl,YES,1,"[117.474, 115.068, 2.994]","[[115.54, 114.021, 2.391], [119.409, 116.114, 3.598]]"
5868524_1_8_void.stl,YES,1,"[0.189, 20.297, 9.369]","[[0.122, 18.031, 9.249], [0.255, 22.562, 9.489]]"
5868524_1_8_void.stl,YES,2,"[-5.872, 98.312, 1.665]","[[-5.872, 98.308, 1.664], [-5.872, 98.316, 1.665]]"
5885189_3_1_void.stl,YES,1,"[2.957, 21.041, 2.021]","[[2.892, 20.944, 1.948], [3.022, 21.138, 2.093]]"
5885189_3_1_void.stl,YES,2,"[-2.149, 19.651, 1.267]","[[-2.204, 19.482, 1.208], [-2.093, 19.819, 1.326]]"
5885189_3_1_void.stl,YES,3,"[-0.194, 19.201, 4.783]","[[-0.203, 19.177, 4.776], [-0.185, 19.224, 4.791]]"
5885189_3_1_void.stl,YES,4,"[2.38, 19.827, 5.38]","[[2.308, 19.688, 5.348], [2.452, 19.965, 5.412]]"
5911816_5_0_void.stl,NO,,,
5885189_3_0_void.stl,YES,1,"[-2.687, 20.765, 3.325]","[[-2.701, 20.722, 3.317], [-2.673, 20.809, 3.333]]"
5885189_3_0_void.stl,YES,2,"[0.318, 14.099, 5.469]","[[-0.804, 11.99, 4.804], [1.44, 16.208, 6.134]]"
5807879_2_0_void.stl,YES,1,"[-3.698, 17.67, 0.576]","[[-3.945, 17.474, 0.497], [-3.45, 17.867, 0.654]]"
5807879_2_0_void.stl,YES,2,"[18.209, -1.915, 11.202]","[[18.206, -1.918, 11.201], [18.212, -1.911, 11.204]]"
5911816_5_1_void.stl,YES,1,"[-20.556, 22.279, 3.531]","[[-20.557, 22.279, 3.531], [-20.554, 22.279, 3.532]]"
5876392_1_0_void.stl,YES,1,"[20.714, 18.752, 9.578]","[[20.617, 18.474, 9.5], [20.81, 19.03, 9.656]]"
5916098_1_2_void.stl,NO,,,
5848270_1_1_void.stl,YES,1,"[-23.283, 79.624, 19.332]","[[-24.465, 78.875, 19.205], [-22.101, 80.372, 19.458]]"
5848270_1_1_void.stl,YES,2,"[82.066, 68.338, 4.953]","[[76.315, 66.538, 4.468], [87.817, 70.138, 5.439]]"
5848270_1_1_void.stl,YES,3,"[-84.057, 68.324, 3.143]","[[-110.756, 61.495, 0.771], [-57.358, 75.154, 5.515]]"
5848270_1_1_void.stl,YES,4,"[-1.838, 10.817, 21.136]","[[-2.205, 10.709, 21.104], [-1.47, 10.926, 21.168]]"
5815802_1_0_void.stl,NO,,,
5876392_1_1_void.stl,YES,1,"[7.312, 4.607, 5.786]","[[7.311, 4.606, 5.786], [7.313, 4.608, 5.787]]"
5876392_1_1_void.stl,YES,2,"[21.747, 15.545, 2.549]","[[21.74, 15.536, 2.546], [21.754, 15.554, 2.553]]"
5848270_1_0_void.stl,NO,,,
5835992_3_9_void.stl,NO,,,
5795286_1_13_void.stl,YES,1,"[-12.259, 52.076, 9.848]","[[-12.26, 52.076, 9.848], [-12.259, 52.077, 9.849]]"
5795286_1_13_void.stl,YES,2,"[5.984, 65.123, 8.51]","[[5.941, 65.099, 8.474], [6.027, 65.146, 8.546]]"
5795286_1_12_void.stl,YES,1,"[-22.589, 31.549, 51.57]","[[-22.613, 31.511, 51.551], [-22.566, 31.588, 51.59]]"
5795286_1_12_void.stl,YES,2,"[-21.204, 57.295, 49.214]","[[-21.308, 57.143, 49.046], [-21.099, 57.448, 49.382]]"
5835992_3_8_void.stl,NO,,,
5903116_5_2_void.stl,YES,1,"[-12.294, 25.001, 1.396]","[[-12.319, 24.954, 1.387], [-12.27, 25.048, 1.404]]"
5903116_5_2_void.stl,YES,2,"[11.644, -13.991, 2.715]","[[11.641, -13.998, 2.713], [11.647, -13.985, 2.716]]"
5903116_5_3_void.stl,YES,1,"[6.375, -18.311, 15.13]","[[5.986, -19.201, 14.835], [6.763, -17.421, 15.424]]"
5903116_5_3_void.stl,YES,2,"[-0.454, 11.83, 4.067]","[[-0.547, 11.703, 4.034], [-0.361, 11.957, 4.1]]"
5903116_5_3_void.stl,YES,3,"[0.808, -13.55, 3.473]","[[0.651, -13.875, 3.388], [0.964, -13.226, 3.558]]"
5832367_1_4_void.stl,NO,,,
5885189_2_9_void.stl,NO,,,
5852984_1_2_void.stl,YES,1,"[-25.0, -22.102, 2.594]","[[-25.001, -22.102, 2.594], [-25.0, -22.102, 2.594]]"
5911816_4_8_void.stl,NO,,,
5852984_1_3_void.stl,NO,,,
5832367_1_5_void.stl,YES,1,"[8.896, -2.194, 0.932]","[[8.725, -2.275, 0.921], [9.066, -2.114, 0.943]]"
5832367_1_5_void.stl,YES,2,"[1.325, 4.646, 0.738]","[[1.023, 4.44, 0.724], [1.627, 4.852, 0.751]]"
5832367_1_5_void.stl,YES,3,"[8.109, 3.265, 0.063]","[[8.056, 3.233, 0.06], [8.161, 3.298, 0.066]]"
5832367_1_5_void.stl,YES,4,"[-4.45, -4.69, 0.655]","[[-4.597, -4.778, 0.644], [-4.303, -4.601, 0.667]]"
5832367_1_5_void.stl,YES,5,"[-3.794, 4.002, 0.478]","[[-3.794, 4.002, 0.478], [-3.793, 4.002, 0.478]]"
5885189_2_8_void.stl,NO,,,
5911816_4_9_void.stl,NO,,,
5771406_3_6_void.stl,NO,,,
5771406_3_7_void.stl,NO,,,
5771254_1_1_void.stl,NO,,,
5779934_1_3_void.stl,NO,,,
5771254_1_0_void.stl,NO,,,
5779934_1_2_void.stl,NO,,,
5857441_1_6_void.stl,YES,1,"[1.196, -1.569, 0.504]","[[1.195, -1.57, 0.503], [1.197, -1.568, 0.504]]"
5857441_1_6_void.stl,YES,2,"[6.481, 12.708, 0.215]","[[6.125, 12.037, 0.14], [6.836, 13.38, 0.289]]"
5857441_1_6_void.stl,YES,3,"[8.154, -8.124, 0.868]","[[8.151, -8.125, 0.868], [8.157, -8.122, 0.868]]"
5817303_1_9_void.stl,NO,,,
5846172_1_5_void.stl,YES,1,"[4.156, 23.054, 9.372]","[[4.143, 22.981, 9.356], [4.169, 23.127, 9.387]]"
5846172_1_5_void.stl,YES,2,"[21.406, 9.148, 19.629]","[[21.069, 8.066, 19.01], [21.743, 10.231, 20.247]]"
5846172_1_5_void.stl,YES,3,"[7.569, 78.015, 41.546]","[[7.554, 77.978, 41.507], [7.585, 78.051, 41.584]]"
5846172_1_5_void.stl,YES,4,"[14.753, 45.747, 18.262]","[[14.068, 41.959, 17.052], [15.439, 49.534, 19.473]]"
5846172_1_4_void.stl,YES,1,"[12.931, 59.299, 28.219]","[[12.897, 59.075, 28.137], [12.964, 59.524, 28.301]]"
5846172_1_4_void.stl,YES,2,"[10.719, 13.378, 12.172]","[[10.718, 13.375, 12.171], [10.719, 13.381, 12.174]]"
5817303_1_8_void.stl,NO,,,
5758968_5_12_void.stl,NO,,,
5769537_1_7_void.stl,NO,,,
5769537_1_6_void.stl,NO,,,
5840852_1_7_void.stl,YES,1,"[-6.215, -12.506, 6.595]","[[-11.358, -15.401, 5.04], [-1.071, -9.611, 8.151]]"
5840852_1_7_void.stl,YES,2,"[8.6, 13.854, 15.563]","[[2.657, 7.076, 14.285], [14.543, 20.633, 16.841]]"
5777962_1_0_void.stl,NO,,,
5840852_1_6_void.stl,YES,1,"[-3.947, 25.326, 13.417]","[[-12.542, 19.088, 10.799], [4.647, 31.563, 16.035]]"
5777962_1_1_void.stl,YES,1,"[-13.944, -1.498, 14.989]","[[-13.944, -1.499, 14.989], [-13.944, -1.498, 14.989]]"
5777962_1_1_void.stl,YES,2,"[9.307, -4.22, 0.348]","[[8.805, -4.33, 0.134], [9.809, -4.109, 0.561]]"
5777962_1_1_void.stl,YES,3,"[15.819, -1.651, 9.522]","[[15.799, -1.66, 9.51], [15.838, -1.643, 9.535]]"
5777962_1_1_void.stl,YES,4,"[-14.813, -6.009, 0.874]","[[-14.815, -6.011, 0.873], [-14.81, -6.008, 0.876]]"
5758968_15_2_void.stl,YES,1,"[74.717, -4.469, 9.147]","[[74.717, -4.469, 9.147], [74.717, -4.469, 9.148]]"
5758968_15_2_void.stl,YES,2,"[-3.671, 12.187, 11.155]","[[-4.522, 11.642, 10.893], [-2.82, 12.733, 11.418]]"
5765487_4_12_void.stl,YES,1,"[21.35, 16.238, 33.251]","[[21.329, 16.209, 33.214], [21.371, 16.266, 33.288]]"
5765487_4_12_void.stl,YES,2,"[22.663, 9.75, 17.276]","[[22.596, 9.676, 17.23], [22.729, 9.825, 17.322]]"
5765487_4_12_void.stl,YES,3,"[10.597, 24.343, 41.338]","[[10.152, 23.812, 40.819], [11.042, 24.874, 41.856]]"
5789969_1_0_void.stl,YES,1,"[44.644, 5.569, 64.796]","[[44.644, 5.569, 64.795], [44.644, 5.569, 64.796]]"
5789969_1_1_void.stl,YES,1,"[-8.571, 13.867, 0.925]","[[-8.584, 13.861, 0.907], [-8.558, 13.873, 0.943]]"
5758968_15_3_void.stl,YES,1,"[-27.798, -72.09, 9.965]","[[-29.475, -72.793, 9.729], [-26.12, -71.387, 10.201]]"
5758968_15_3_void.stl,YES,2,"[27.346, 34.288, 35.44]","[[27.346, 34.288, 35.44], [27.346, 34.289, 35.44]]"
5765487_4_13_void.stl,YES,1,"[-20.001, 9.311, 9.084]","[[-20.082, 9.267, 9.055], [-19.92, 9.355, 9.113]]"
5765487_4_13_void.stl,YES,2,"[27.44, 2.841, 34.565]","[[27.128, 2.614, 34.351], [27.751, 3.067, 34.778]]"
5765487_4_13_void.stl,YES,3,"[-4.837, -26.624, 37.269]","[[-4.911, -26.666, 37.22], [-4.763, -26.581, 37.318]]"
5765487_4_13_void.stl,YES,4,"[19.496, -15.958, 2.992]","[[19.264, -16.203, 2.864], [19.728, -15.712, 3.119]]"
5763731_1_4_void.stl,YES,1,"[44.002, 30.163, 5.246]","[[44.002, 30.163, 5.246], [44.002, 30.163, 5.246]]"
5763731_1_4_void.stl,YES,2,"[38.433, 39.329, 0.235]","[[38.431, 39.324, 0.231], [38.436, 39.333, 0.239]]"
5763731_1_4_void.stl,YES,3,"[15.269, 13.838, 12.649]","[[15.245, 13.814, 12.614], [15.294, 13.862, 12.685]]"
5763731_1_5_void.stl,NO,,,
5838700_1_3_void.stl,NO,,,
5873277_2_3_void.stl,NO,,,
5873277_2_2_void.stl,NO,,,
5838700_1_2_void.stl,NO,,,
5835595_1_8_void.stl,YES,1,"[25.641, -13.875, 1.122]","[[23.458, -14.54, 0.582], [27.824, -13.21, 1.662]]"
5835595_1_8_void.stl,YES,2,"[49.587, -14.794, 14.586]","[[48.78, -15.107, 14.007], [50.393, -14.481, 15.164]]"
5835595_1_8_void.stl,YES,3,"[-13.697, 11.973, 5.031]","[[-13.7, 11.972, 5.03], [-13.695, 11.974, 5.032]]"
5835595_1_8_void.stl,YES,4,"[46.283, 8.998, 8.918]","[[45.611, 8.813, 8.796], [46.956, 9.183, 9.041]]"
5835595_1_8_void.stl,YES,5,"[45.233, -13.592, 23.946]","[[35.683, -15.531, 22.399], [54.782, -11.653, 25.494]]"
5835595_1_9_void.stl,YES,1,"[35.168, 5.849, 29.49]","[[35.165, 5.846, 29.489], [35.172, 5.851, 29.491]]"
5835595_1_9_void.stl,YES,2,"[54.216, -14.019, 3.617]","[[52.453, -14.53, 3.041], [55.98, -13.508, 4.193]]"
5835595_1_9_void.stl,YES,3,"[64.003, -12.62, 6.45]","[[63.089, -12.925, 6.123], [64.916, -12.315, 6.777]]"
5835595_1_9_void.stl,YES,4,"[15.19, 11.977, 18.243]","[[10.662, 11.392, 17.354], [19.718, 12.561, 19.132]]"
5835595_1_9_void.stl,YES,5,"[38.959, -6.628, 22.054]","[[37.302, -7.09, 21.53], [40.617, -6.167, 22.577]]"
5731853_2_2_void.stl,NO,,,
5840852_6_1_void.stl,NO,,,
5856715_6_0_void.stl,NO,,,
5840852_6_0_void.stl,NO,,,
5856715_6_1_void.stl,NO,,,
5826522_1_5_void.stl,YES,1,"[25.823, -1.031, 0.854]","[[25.823, -1.031, 0.854], [25.823, -1.031, 0.854]]"
5826522_1_5_void.stl,YES,2,"[32.561, -2.482, 8.65]","[[32.534, -2.495, 8.642], [32.588, -2.469, 8.659]]"
5815969_1_9_void.stl,NO,,,
5758968_12_4_void.stl,YES,1,"[1.284, 7.506, 19.015]","[[1.092, 7.144, 18.246], [1.476, 7.868, 19.784]]"
